"text","text_en","cmp_code","eu_code"
"CREATING AN ECONOMY THAT WORKS FOR ALL",NA,"H",NA
"Labour’s economic strategy is about delivering a fairer, more prosperous society for the many, not just the few.",NA,"503",NA
"We will measure our economic success not by the number of billionaires, but by the ability of our people to live richer lives.",NA,"503",NA
"Labour understands that the creation of wealth is a collective endeavour between workers, entrepreneurs, investors and government.",NA,"405",NA
"Each contributes and each must share fairly in the rewards.",NA,"503",NA
"This manifesto sets out Labour’s plan to upgrade our economy and rewrite the rules of a rigged system, so that our economy really works for the many, and not only the few.",NA,"503",NA
"Britain is the only major developed economy where earnings have fallen even as growth has returned after the financial crisis.",NA,"701",NA
"Most working people in Britain today are earning less, after inflation, than they did ten years ago.",NA,"701",NA
"Too many of us are in low-paid and insecure work.",NA,"701",NA
"Too many of us fear our children will not enjoy the same opportunities that we have.",NA,"503",NA
"Labour will turn this around.",NA,"503",NA
"We will upgrade our economy, breaking down the barriers that hold too many of us back,",NA,"503",NA
"and tackling the gender pay gap.",NA,"503",NA
"Our National Transformation Fund will deliver the investment that every part of Britain needs to meet its potential, overcoming years of neglect.",NA,"411",NA
"Our industrial strategy will support businesses to create new, highskilled, high-paid and secure work across the country, in the sectors of the future such as renewables.",NA,"411",NA
"We will stop our financial system being rigged for the few, turning the power of finance to work for the public good.",NA,"503",NA
"And we will put small businesses at the centre of our economic strategy.",NA,"402",NA
"The growth created by our national investment plan, underpinned by the responsible economic management embodied in our Fiscal Credibility Rule, will create good jobs,",NA,"701",NA
"drive up living standards",NA,"410",NA
"and improve the public finances.",NA,"414",NA
"It is a plan that will deliver Labour’s vision of an economy that works for the many, not just the few",NA,"503",NA
"– a Britain in which no one is held back.",NA,"503",NA
"A FAIR TAXATION SYSTEM",NA,"H",NA
"Taxation is what underpins our shared prosperity.",NA,"503",NA
"All of us, including business, benefit from a healthy, educated and skilled population, with access to basic services and secure housing.",NA,"503",NA
"We believe in the social obligation to contribute to a fair taxation scheme for the common good.",NA,"503",NA
"We will take on the social scourge of tax avoidance through our Tax Transparency and Enforcement Programme,",NA,"503",NA
"and close down tax loopholes.",NA,"503",NA
"But we will not ask ordinary households to pay more.",NA,"701",NA
"A Labour government will guarantee no rises in income tax for those earning below £80,000 a year,",NA,"704",NA
"and no increases in personal National Insurance Contributions or the rate of VAT.",NA,"704",NA
"Under Labour’s plans, 95 per cent of taxpayers will be guaranteed no increase in their income tax contributions, and everyone will be protected from any increase in personal National Insurance contributions and VAT.",NA,"704",NA
"Only the top 5 per cent of earners will be asked to contribute more in tax to help fund our public services.",NA,"503",NA
"We renew our pledge not to extend VAT to food, children’s clothes, books and newspapers, and public transport fares.",NA,"504",NA
"Corporation tax in the UK is the lowest of any major developed economy.",NA,"503",NA
"Our new settlement with business will ask large corporations to pay a little more while still keeping UK corporation tax among the lowest of the major developed economies.",NA,"503",NA
"In turn, we will meet the business need for a more skilled workforce with extra corporate tax revenues while contributing to education and skills budgets.",NA,"411",NA
"We will protect small businesses by reintroducing the lower small profits rate of corporation tax.",NA,"402",NA
"We will also exclude small businesses from costly plans to introduce quarterly reporting",NA,"402",NA
"and take action on late payments.",NA,"403",NA
"Labour will give HM Revenue & Customs the resources and skills necessary to clamp down hard on those unscrupulous few individuals and companies who seek to avoid the responsibilities that the rest of us meet.",NA,"503",NA
"BALANCING THE BOOKS",NA,"H",NA
"Our manifesto is fully costed, with all current spending paid for out of taxation or redirected revenue streams.",NA,"414",NA
"Our public services must rest on the foundation of sound finances.",NA,"414",NA
"Labour will therefore set the target of eliminating the government’s deficit on day-to-day spending within five years.",NA,"414",NA
"But government must have a laserlike focus on how we earn, as well as how we spend.",NA,"410",NA
"At the same time as eliminating the current deficit, Labour will invest in our future, to ensure faster growth and help us to earn our way as a country again.",NA,"410",NA
"To maintain good fiscal health, we will have a firm rule in place to guide all our taxation and spending decisions.",NA,"414",NA
"Our Fiscal Credibility Rule is based on the simple principle that government should not be borrowing for day-today spending,",NA,"414",NA
"but that future growth depends on investment.",NA,"402",NA
"It was designed in conjunction with worldleading economists.",NA,"414",NA
"It also means we are committed to ensuring that the national debt is lower at the end of the next Parliament than it is today.",NA,"414",NA
"Compliance with the rule will be overseen by a strengthened and truly independent Office for Budget Responsibility, which we will make accountable to Parliament.",NA,"202.1",NA
"We will also consult on implementing the recommendations of the Kerslake Review of the Treasury.",NA,"408",NA
"INFRASTRUCTURE INVESTMENT",NA,"H",NA
